Date,JNJ,PG,MSFT,KO,XOM,NKE,IBM,WMT,AAPL,JPM
1995-11-17,21.0625,22.0,5.625,18.6875,19.46875,3.8125,23.84375,11.875,1.4285709999999998,19.458334
1995-11-20,21.09375,22.3125,5.523438,18.75,19.84375,3.7578129999999996,23.75,11.875,1.4375,19.583334
1995-11-21,20.9375,21.75,5.367188,18.8125,19.78125,3.8125,23.28125,12.0625,1.3839290000000002,19.5
1995-11-22,21.25,21.5,5.523438,19.15625,19.90625,3.7421879999999996,23.6875,12.25,1.379464,20.083334
1995-11-24,21.09375,21.375,5.476563,18.75,19.625,3.7421879999999996,23.8125,12.25,1.388393,20.041666
1995-11-27,21.15625,21.65625,5.539063,18.8125,19.625,3.796875,24.125,12.4375,1.450893,20.041666
1995-11-28,21.15625,21.96875,5.4375,18.65625,19.6875,3.609375,23.9375,12.25,1.40625,19.791666
1995-11-29,21.3125,21.4375,5.742188,18.84375,19.78125,3.59375,24.3125,12.1875,1.433036,19.75
1995-11-30,21.53125,21.71875,5.59375,18.875,19.625,3.65625,24.3125,12.1875,1.388393,19.958334
1995-12-01,21.71875,21.46875,5.445313,18.9375,19.3125,3.625,24.25,12.0625,1.357143,20.041666
1995-12-04,21.5,21.0,5.382813,18.945313,19.4375,3.703125,23.75,12.0625,1.433036,19.958334
1995-12-05,21.875,21.1875,5.492188,19.0625,19.625,3.671875,24.21875,12.0625,1.375,20.25
1995-12-06,22.53125,21.75,5.382813,19.34375,20.0,3.78125,24.0625,12.125,1.419643,20.541666
1995-12-07,22.625,21.90625,5.695313,19.8125,20.125,3.8515629999999996,23.8125,12.0,1.3839290000000002,20.708334
1995-12-08,22.75,22.0,5.789063,19.59375,20.28125,3.8515629999999996,23.75,11.75,1.3839290000000002,20.166666
1995-12-11,22.5,21.90625,5.90625,19.625,20.40625,3.84375,24.28125,11.875,1.410714,20.208334
1995-12-12,22.5625,21.59375,5.8125,19.84375,20.84375,3.734375,24.09375,11.8125,1.379464,19.875
